text,label
For det andet skal regeringen iværksætte og afslutte et udvalgsarbejde om højere erstatninger til omsorgssvigtede og misbrugte børn.,1
"På et eller andet tidspunkt må man gøre boet op, så må  man gøre sin stilling op.",1
"Vi arbejder gerne videre med det, og vi vil gerne have, at man fastholder det fokus, der er på styrkelsen af forbrugerbeskyttelsen.",0
"Faktisk blev  en delegation fra Det Udenrigspolitiske Nævn orienteret i  Washington D.C. i september 1999 i samme stund, som Nævnet  blev orienteret her i København.",0
"Som jeg nævnte, blev der sidste år overført 34 udlændinge til afsoning i hjemlandet.",0
I de indre dele af de to  byer er biltrafikken faktisk faldet det seneste år.,0
"Hvis det projekt skal lykkes, kræver  det en mangfoldighed af pædagogiske tilgange tilpasset den  enkelte ungdomsuddannelse og undertiden den enkelte klasse og  elev, så også af denne grund er det bydende nødvendigt at få  nedsat klassekvotienten.",1
"Det er ikke noget, jeg ønsker lukkethed om, så jeg vil  sende tallene over, når der er gået et halvt år - altså  omkring den 1. juni.",0
"Jeg har ikke været på Rinkebyskolan, men jeg har  været en tur på Bornholm, og på Bornholm har man besluttet  simpelt hen at lave sprogscreening af alle 3-årige børn.",0
"Vi skal regulere finanssektoren og sikre, at den kommer samfundet til gode.",1
"Alle unge, der ønsker det, skal kunne få en uddannelse.",1
"Anders Fogh Rasmussen  tænker hurtigt og måske også af og til hurtigere, end han  taler.",0
"Derfor er det jo er en vældig god idé, for der er selvfølgelig en række ting omkring det Måbjergværk, som vi må have kigget nærmere på.",0
"For en af de ting, der trækker i Syrien, er jo, at vi ikke har villet skrive den under.",1
"Vi har lavet en god aftale, og jeg ser med glæde frem til at få dette lovforslag stemt igennem i dag.",0
"Hvis vi kigger sådan mere på det fremadrettede, synes vi, at man som regering har et ansvar for at gøre Danmark stærkere og bedre rustet til de globale udfordringer, der er.",1
"I vores tal i skattereformen lægger vi op til at skabe 15.000 flere job målt i årsværk, og det er altså ret flot klaret, synes jeg.",0
"Når jeg læser dem højt, er det for at minde om, at det handler om mennesker.",0
Jeg vil først understrege – også på baggrund af selve formuleringen af spørgsmålet – at jeg på ingen måde anfægter dommen i Østre Landsret.,0
Midler frigjort fra staternes asylsagsbehandling gives til migrationsforebyggende udviklingsarbejde og konfliktforebyggelse.,0
"Den vigtigste faktor og det vigtigste problem var, at  man ikke kunne få dem sendt hjem.",0
Hvordan skal Bornholmstrafikken kunne gå ud og skaffe  færger?,0
"Hver gang en præstestilling i et tyndtbefolket område  bliver ledig, indgår det i biskoppens overvejelser og  eventuelt også i drøftelserne med menighedsrådene, om den  skal opslås uændret, eller om man skal bruge lejligheden til  at bruge ressourcerne på en anden måde.",0
"Jeg synes måske i virkeligheden, at fru Gitte Lillelund Bech  meget godt skitserer, hvor uenigheden ligger, den uenighed,  som vi måske kan få noget afklaring på hen over sommeren.",0
"En borger kan fritages generelt fra digital post, fordi det jo er sådan med digital post, at borgeren uopfordret kan modtage breve fra det offentlige, og derfor er det vigtigt at sikre sig, at borgerne er i stand til at anvende digital post.",0
Men det er altså arvegods fra vores regeringstid.,0
Vi er således imod principperne i  lovforslaget.,1
"Det, jeg gerne vil sige, er, at jeg jo ikke vil stå og kommentere en navngiven borgers verserende sag, men at vi har nogle muligheder i vores lovgivning for at fratage mennesker et statsborgerskab, hvis de eksempelvis er dømt for terrorisme.",1
"Der skal man huske, at hvis ikke de skal være omkostningsægte, er det jo ikke sådan, at det så pludselig bliver billigere.",0
"Jeg tror også, det kunne være godt, at der kom nogle midler med, så medarbejderne kunne få noget mere uddannelse, også i hvordan man håndterer situationen med børn.",1
"Det nytter jo ikke noget, at alle mulige sagesløse personer skal undgælde for, at der er en gruppe fra Stormellemøsten, som på grund af deres kultur ikke kan finde ud af at præstere det, som man almindeligvis bare kalder ordentlig opførsel.",1
"Eller skal man komme med fødelinjer til områder, hvor folk i virkeligheden ikke kan bevæge sig rundt?",0
"Jamen det er helt præcis ca. 11 mia. kr., så det er mange penge.",0
Tyrkiet skal behandles på lige fod  med andre kandidatlande.,1
"Jeg vil lægge op til, at vi alle samles om en ambitiøs strategi, der kan gøre Danmark til et førende vidensamfund og til verdens mest konkurrencedygtige samfund.",1
En god erhvervspolitik skal derfor sigte mod erhvervslivet - så kommer jobbene af sig selv.,0
"Det er nemlig samtlige sambeskatningsregler, der ændres med lovforslaget her, og derfor er hr.",0
Men Kristeligt Folkeparti betragter ikke indvandringen som en trussel mod dansk kultur og danske værdier.,1
"Et samfund der passer bedre på klimaet Vi skal have et samfund, der er selvforsynende med vedvarende energi.",1
Velfærd er rammerne om vores hverdag og liv i Danmark.,1
"Men som jeg også har prøvet at oplyse Venstre om, er virkelighedens verden den, at der ikke er mulighed for at pålægge regeringen at gennemføre den administration af loven, som Venstre går ind for.",1
Lån til ågerrente (mere end 25% over normal udlånsrente) mister retsbeskyttelsen.,0
"Jeg kan selvfølgelig ikke stå på Folketingets talerstol repræsenterende Venstre og så overse, at også dette lovforslag har et væsentligt antal bemyndigelser, hvad vi konsekvent ikke er fortalere for.",1
"Det var, at vi ville give en kompensation til kunstnerne som følge af den lovlige kopieringsmulighed, der blev etableret.",0
"Det var jo derfor, jeg gerne ville videre end det – ikke for at genåbne den debat, for den kan vi tage en anden dag, men jeg ville gerne videre og prøve at komme med nogle forslag, der løser alle tre udfordringer.",0
"Det kan fremmes med folkeoplysende aktiviteter, men der er ikke fokus på denne vigtige dannelsesproces i ministerens redegørelse, og jeg vil efter  lyse midler til folkeoplysningsprocessen i Baltikum.",1
"Det er derfor, man trygt kan sige, at genoptræningen skal være, som den lægefaglige vurdering siger den skal være – det kan ikke diskuteres.",1
"Det er betryggende og glædeligt, for ethvert barn, der har været udsat for noget af det frygteligste, der kan overgå et barn, hvor der ikke er blevet grebet ind, er et barn for meget.",1
"Anders Fogh  Rasmussen kan vælge at holde sit løfte helt frem til næste  valg, det er jeg slet ikke i tvivl om.",1
"Vi er helt trygge ved, at andelsboligforeningerne selv kan vælge den måde at aflægge regnskab på, som andelsboligforeningerne finder bedst.",1
"Nu er der stigende interesse for kommunisternes stilling og politik, fordi der er behov for en ny og fastere holdning over for samarbejdet med de borgerlige partier og over for Socialdemokratiets samarbejdsønsker med de borgerlige.",0
"USA, Australien og tidligere kolonimagter som Frankrig og Storbritannien har sprog, der tales i store områder, og virker derfor tiltrækkende på indvandrere med et forholdsvis højt uddannelsesniveau.",0
"Der kunne man godt tænke sig, at nogle af de gejstlige, som ikke er med blandt anerkendte trossamfund, også kommer ind i nogle netværk, hvor de ikke bare fortsætter de oldnordiske syn på andre mennesker og taler ned om andre eller laver kulturel eller social kontrol, både inden for egne rækker, men bestemt også uden for egne rækker.",1
"Den store  forskel giver måske et indtryk af, at meget af det her er  påvirket af, hvad der skrives i pressen.",0
"Videregående uddannelse som videreuddannelse Det er selvfølgelig svært at spå om, hvilken arbejdskraft erhvervslivet og det offentlige får brug for om 5-10 år.",0
"Jeg vil bare nævne et par af eksemplerne, og jeg vil også gerne oversende Danske Regioners redegørelse eller status til udvalget, hvis der er interesse for det.",0
Arbejdsgiverne skal i højere grad betale de samfundsmæssige omkostninger ved nedslidning  og arbejdsulykker.,1
"Hvad vil Venstre i givet  fald gøre for at sikre, at de ting bliver rettet op?",0
"Ministeren er dog ikke i stand til at beskrive, hvilke kvalitetskriterier han vil anvende.",0
"Den teknologiske udvikling stiller nye krav til arbejdsstyrken og her er især kvinder sårbare, fordi de generelt er dårligere uddannet end mænd.",1
"Men jeg må nok sige, at vi sammenlagt, som jeg sagde ved  behandlingen af de to øvrige forslag, er stærkt tvivlende  over for, om det her er den rigtige løsning.",0
KRF vil kæmpe for  det kristne grundlag!,0
"Og så længe der ikke bliver spurgt til, at ministeren skal  oplyse noget om, hvad PET har foretaget sig eller andre ting,  men alene om, hvornår ministeren blev bekendt med, at PET  havde kontakt med Dan Lynge, så er det svært at se, at  ministeren kan dække sig ind under, at det er noget, som ikke  må offentliggøres af hensyn til PET.",1
"Hvis det er den tilgang og forventning, man har til indsatsen, så er det klart, at det har en betydning, og at det giver mening, men så betyder det, at resultatet bare bliver, at der ikke vil blive gjort en tilstrækkelig indsats for de forsikrede ledige på et tidspunkt, hvor der bliver flere og flere af dem.",1
"Ved samarbejde med radio og TV og ved øget oplysningsvirksomhed bør det sikres, at offentlige kulturelle institutioner i højere grad kommer hele befolkningen til gode.",0
Og det kan vi så muntre os med resten af dagen.,0
"De migranter, der ankom til Danmark under den store indvandring i efteråret 2015 skal sendes tilbage til deres hjemlande eller til lejre i nærområderne, når deres midlertidige opholdstilladelse udløber.",1
"Det er almindelig del, som man kan finde  det på, oversendt den 13. maj 2002, jeg vil bare sige det  igen.",0
"Men jeg synes, at denne type åbenhedsordning i virkeligheden er langt bedre egnet, fordi det dels pålægger den pågældende person selv at tage stilling, dels stiller folk til regnskab.",1
"Forudsætningen for, at SF kan levere resultater, er et tæt samarbejde med vores alliancepartnere.",0
"Det, vi kan se af de sidste indikatorer, er, at produktiviteten er gået op i det danske samfund, vores eksport er blevet bedre, og i det hele taget går det bedre i Danmark nu.",0
"Partnerskabsaftalerne virker og skaber foruden praktikpladser til de unge også et rigtig godt samarbejde mellem erhvervsskoler, skoleforvaltninger i kommunerne, UU-centre og f.eks.",0
Det Radikale Venstre vil derfor fastholde grundbeskatningen som et led i den kommunale beskatning.,0
Derfor har ministeriet også åbnet op for jagt på kronvildt i i februar.,0
"Vi har i omegnen af 35 lovforslag og beslutningsforslag på dagsordenen på torsdag, og på fredag har vi 45 forslag på dagsordenen, så vi er jo ikke i mål endnu.",0
EN SAMLET INDSATS MOD ARBEJDSLØSHED OG SOCIAL URET  Gennem fornuftige sociale foranstaltninger kan arbejdsløsheden nedbringes betydeligt.,1
"Lovforslaget vil bygge på en betænkning, som Strafferetsplejeudvalget forventes at afgive i slutningen af 2007.",0
"Hvis det her var noget, som rent faktisk stod til troende, ville det jo være samtlige kommuner, som havde opkrævet et beløb, og det må man bare konstatere ikke har været tilfældet.",0
"Der er jo en god tradition for, at Folketingets partier har mulighed for at komme med forslag til prioriteringer under MUDP-programmet.",0
"Da udliciteringsaftaler  typisk indgås for en tidsbegrænset periode, giver det gode  muligheder for konkurrence, fordi aftalerne regelmæssigt  bliver udbudt.",0
"At man nu fremkommer med nogle forskellige scenarier, er fint nok.",0
"Nogle af dem var gift og havde deres familie derhjemme, og da de nu pludselig ikke var gæstearbejdere mere, men var blevet til indvandrere, var det jo rimeligt, at de fik deres familier med hertil.",1
"De  nye  job  vil sænke  ledigheden  og  sikre,  at  arbejdsløsheden  ikke  bider  sig  fast.",0
"Vi har sat dem på førtidspension, og de har været på forskellige offentlige ydelser i mange år.",0
"Men tak i øvrigt for bekræftelsen af, at SF ikke vil  nedsætte grundbeløbet, som hr.",0
Disse selskaber bliver herefter nok nødt til at sælge ud af deres titusindvis af lejligheder som ejerlejligheder.,0
"Ved at uddanne flere, løfte i flok og skabe nye partnerskaber.",0
"Det her med, at vi skulle have udhulet pensionerne, er jo altså parallelt med, at vi har opbygget et arbejdsmarkedssystem, der forhåbentlig gør, at vi får en langtidsholdbar pensionsordning, når vi både laver en ordning, der følger levetidsalderen, og når vi lader folk spare op til deres egen pension.",1
"Der vil jeg gerne høre, om fru Karen Hækkerup mener, at det fremmer integrationen, at vi med den her lov altså går ind og siger, at den enkelte dommer ikke må have et tørklæde eller en kalot eller en buddha, eller hvad det nu ellers kunne være, man havde af religiøse symboler, men man må gerne have dannebrog, man må gerne have kongekroner med kors på osv., og det må der også godt være på selve domstolen.",1
"Og under  forudsætning af at forslaget bliver vedtaget, vil det altså  også sige, at det eksisterende Udvalg vedrørende  Grønlandslove bliver erstattet med det, vi har foreslået her.",0
"Samlet for år 2000 er der 3.281 personer, der har  forsøgt illegalt at krydse grænsen og er blevet taget af den  patruljering, der er dernede.",0
"Det er jo i mine øjne også det, beslutningsforslagene kan bruges til: at vi laver nogle hensigtserklæringer sammen.",0
"Der er jo forhåbentlig en bund af kærlighed under det hele, men der er altså også nogle juridiske aspekter i det, som gør, at man bare kan lade være med at gifte sig, hvis det er sådan.",1
Det kan nemlig lade sig gøre.,0
"Jeg og Dansk Folkeparti kunne godt have tænkt os, at ordføreren havde brugt »flygtningeudfordringer«, for det er jo det, det drejer sig om.",0
"Det er faktisk en vej, man skal bevæge sig ad, hvis man skal nå i retning af målet, så det er jo ikke sådan, at vi bare passivt sidder og venter på, at der er nogle, der siger, hvordan vi kan nå visionen med de 100 pct.",0
NU - generationen har fået nok!,1
"Når problemet har vokset sig så stort, er det jo, fordi man, siden det indre marked blev indført, ikke har gjort noget som helst.",1
"De indsatte har altså, ligesom da de begik forbrydelsen,  udsat sig for, at der ville kunne ske noget med dem.",0
"Tænk, at man skulle opleve at være enig med  Enhedslisten, i hvert fald med ordføreren, fru Jette  Gottlieb!",0
"Det er det, der er den egentlige trussel mod Danmark  kulturelt set, og det er jeg da sådan set glad for at vi kan  være enige om.",1
Og hvem har  ministeren egentlig mest tillid til efter det her?,0
"Den kulturelle og sociale mangfoldighed skal styrkes på de kunstneriske produktioner på vores teatre, i biografen, på museerne, på tv og radio, og det er vigtigt, at den kommer tydeligt til udtryk i kulturministeriets støtteordninger såvel som i de kunstneriske uddannelser.",1
"Vores opgave som parti er at fremme de værdier, som ligger i et kristent livs- og menneskesyn.",1
"LGBT I Danmark har vi alle ret til at elske, hvem vi vil.",1
"Og ja, der er også sager, hvor folk jo har ret, og der får de også deres gebyr tilbage igen, så der er det ikke noget problem.",1
"Erhvervsuddannelser skal vises større respekt Én ting er vilkårene på erhvervsskolerne, noget andet er at få flere til at vælge vejen derhen.",0
"Jeg mener, det er ret stærkt, hvis vi kan møde frem og sige: Det er ikke bare noget skrivebordsteoretisk, at vi kan nå de 30 pct., nu skal I høre, hvilke helt konkrete tiltag vi har tænkt os at gøre for at nå det mål.",0
"Søren Søndergaard, der siger, at det er et  spørgsmål om at tilgodese både arbejdsgivernes ønsker om  arbejdskraft og børnefamiliernes ønske om mere tid: Det er  netop det, V's og K's beslutningsforslag og det, regeringen  kommer med, lægger op til: at tilgodese begge de hensyn.",1
For at kunne nedsætte trækprocenten skal fradragssystemet forenkles og standardiseres mest muligt.,0
Regeringen har dermed  opfyldt sit løfte.,0
"Jeg kan i hvert fald fortælle fru Merete Riisager, at det bruger jeg normalt ikke min tid på på en helt almindelig arbejdsdag.",1
"Ja, da var det ofte sådan, at det, at man var  medlem af en organisation, automatisk betød, at man ikke  kunne få arbejde.",0
Jens Peter Vernersens  misforståelse af den sag her?,0
"Det kan ikke være rigtigt, at eksempelvis en enlig mor, der har sparet op hele livet, ikke kan få lov at give hele sin opsparing videre til sit barn.",1
"Jeg synes, at fokuspunkterne er rigtige.",0
På arbejdspladserne må der opbygges solidaritetskasser.,0
"Endelig glæder vi os som det sidste meget over den del af lovforslaget, der handler om, at reklamereglerne bliver liberaliseret, sådan at der er mulighed for at tjene flere penge, bl.a. for TV 2.",0
"Hvis  ministeren stillede op, at når folk kommer, får de tilbudt et  arbejde, så kunne man begynde at diskutere det.",0
"Selvom dansk økonomi er kraftigt påvirket af krisen, har Danmark imidlertid bedre forudsætninger end de fleste andre lande for at komme sikkert igennem krisen, idet Danmark har ført en ansvarlig økonomisk politik siden 2001.",0
"Så vil jeg også gerne spørge finansministeren: Hvad er  det, der gør, at finansministeren i modsætning til både  vismænd og bankøkonomer og alle andre har så stor en  optimisme i forhold til væksten i arbejdsstyrken?",0
"31. januar 2005 Udgangspunktet er klart: Vi har en række grundlæggende værdier, som gør Danmark til et stærkt og retfærdigt samfund.",1
Det spørgsmål kan jeg jo ikke svare på.,0
"Selvom regeringen foreslår selskabsskatten nedsat med en enkelt procent til 30 pct., virksomhedsskatten nedsat til 39 pct. og afskrivningerne for international forskning forhøjet til 125 pct. (tre forslag som Fremskridtspartiet selvfølgelig støtter), så er det de mange nye belastninger af erhvervslivet, der kommer til at gøre skade.",1
"Når det drejer sig om AMU-centre, er det selvfølgelig  rigtigt, at kommunerne kan købe pladser, men de køber ikke,  for kommunerne har ikke lagt penge til side til at købe.",0
"Arbejdet skulle tage cirka 10 år, og man besluttede sig for at opkræve en fast afgift per kubikmeter leveret drikkevand for at betale omkostningerne.",0
Der er også blevet sagt til mig: Skal man så på grund af  det lille antal dyr gå ind og gøre sådan og sådan.,0
"Først vil jeg sige, at en af de ting, jeg fast sagde i konfirmandundervisningen, da jeg var præst igennem 40 år, var, at begrebet en lykkelig skilsmisse ikke findes.",1
Demokratiet skal også indføres i hele boligsektoren sådan at man altid som beboere har ret til indflydelse på sine boligforhold.,1
"Jeg vil så samtidig sige, at jeg også synes, jeg fra Venstres ordfører fornemmede en udstrakt hånd, med hensyn til at vi kan få en drøftelse om en ordentlig skovpolitik her i Folketinget.",0
"Hvis vi får en rød regering, kommer der generelt færre job, fordi man ødelægger væksten og erhvervslivets klima i Danmark, men det gælder både de faglærte og de ufaglærte job.",1
"Men må vi nu lige pludselig ikke beskæftige os med noget, der er fortidigt, ikke længere have lov til at tænke på vores egne fortidsminder og sørge for restaureringen af dem, lægge nyt tag på Børsen, sørge for nyt tag til Roskilde Domkirke og sørge for, at Jellingestenene bliver vedligeholdt?",1
"Det er  det indtryk, bemærkningerne i lovforslaget efterlader.",0
Y  Nutidens problemer kan ikke løses med forældede metoder -  Kun Fremskridtspartiet har nytænkningen  Indkomstskatten stammer fra 1903 og er i dag lige så  uanvendelig i praksis som en skrivemaskine  fra århundredskiftet  Højere løn gennem lavere skat  Tingene hænger sammen:  Offentlige besparelser giver lavere skat.,1
"Det, jeg spurgte til, var, om det var noget, der var udklækket, og som man havde udtænkt i Ældreministeriet sådan på helt egen hånd og dermed fik igennem i satspuljen.",0
Men her må man huske at der er en meget stor del af den kvindelige arbejdsløshed der er skjult.,0
"Det kan man selvfølgelig gøre, og på den baggrund kan man så forholde sig til det.",0
"Skaarup siger, at der  ikke skal tages hensyn til dem, der begår kriminalitet, men  det er meget svært for mig at komme til nogen anden  konklusion, end at det er dér, hr.",1
"Ole Hækkerup godt selv kan se – var:  »Jeg vil sådan set godt begynde med at takke Socialdemokraterne for det forslag, vi her har til behandling, om en styrket indsats over for ofre for personfarlig kriminalitet.",0
"Undervisningsvejledningerne  De vejledninger, der findes for undervisningens indhold i de enkelte fag er alt for upræcise og tillægger den enkelte lærer og den enkelte skole en ret til at vælge indhold og metode, som er ude af trit med de aktuelle behov.",0
"Akutafdelinger er: - et alternativ til indlæggelse på sygehus for nogle ældre med et helbredsproblem, der kræver hjælp og observation, men som ikke nødvendigvis kræver akut brug af sygehusets ekspertise , - et supplement til kommunernes døgnhjemmepleje og til aflastningsophold. - et alternativ i en periode, hvor den ældre befinder sig dårligt i eget hjem, på grund af en helbredsmæssig svækkelse og eventuelt manglende pasningsmuligheder i hjemmet, men hvor situationen ikke kræver sygehusindlæggelse, - et alternativ til en fortsat indlæggelse.",0
"Så er det afgørende, at vi ikke diskvalificerer mulighederne for vækst, for udvikling og for det at kunne have det gode liv, uanset hvor man bor i landet.",1
Der lod man  de langsigtede bivirkninger udgøre forskningen til skade for  mange kvinder.,1
"Det er jo et projekt, som havde en vis hast i foråret og forsommeren, fordi det handlede om timing i forhold til nogle afgørende elementer, der skulle opfyldes: Afgreningskammeret skulle monteres, samtidig med at Metrocityringen skulle laves, og derfor var der politiske forhandlinger på kryds og tværs i forskellige forligskredse.",0
"Dette kan ske ved at styrke Det konservative Folkeparti.  rettelagt aftale mellem lønmodtagerne, erhvervslivet og det offentlige efter princippet: Skattelettelse i stedet for en del af indkomstforhøjelserne.",0
"Selv om den overgår til at være kommunal, er det jo de samme opgaver, der skal udføres, så jeg ser ikke de store problemer i det.",0
1. januar 1979 et skridt i retning af L 240 af 2. april 1976.,0
"Med de begrænsede midler, der står til partiets rådighed, vil det tage sin tid, før denne oversigt er lige så fuldstændig og velgennemarbejdet, som vore finanslovsforslag efterhånden er blevet det.",0
"Så er spørgsmålet: Hvis man skal lave en ny struktur, så skal der være et argument for at gøre det.",0
"Jeg vil gerne understrege, at det slet  ikke er, fordi nogen i Århus - det har jeg ikke kendskab til  i hvert fald - kunne forestille sig den samme grad af  ødselhed, som vi har været vidne til omkring metroprojektet i  København.",0
"Jamen det, som Dansk Folkeparti fuldstændig misser i den sammenhæng, er, at der dør 30 mennesker om dagen i Irak.",0
"Den handler nemlig om, at vi jo bl.a. styrker indsatsen markant over for rocker- og bandekriminalitet.",0
I dag har borgere kun begrænset mulighed for at ytre sig om lovforslag gennem høringsprocessen.,0
"Bjarne Laustsen har sagt, at det var ham, der foreslog, at der skulle være en høring, og så kunne det nok være, at vi fulgte efter.",0
Svaret på drab på uskyldige i New York og  Washington er ikke at dræbe uskyldige i Afghanistan.,1
"ET SPØRGSMÅL OM HOLDNINGER Valget den 11.  marts handler først og fremmest om, hvilke grundholdninger, der skal bære det danske samfund i det næste århundrede.",0
"Der må man jo bare konstatere, at forliget på to områder svigter økonomisk.",0
"Ældre mennesker har naturligvis præcis de samme behov, som alle andre: en god bolig, en ordentlig økonomi, hjælp hvis helbredet svigter, tryghed og kontakt med andre.",1
Der skal være færre regler og mere plads til den gode relation mellem borger og socialarbejder.,1
"Indenrigs- og sundhedsministeren (Lars Løkke Rasmussen): Grunden til, at der ikke ligger et svar endnu, er, at det ikke er formuleret endnu.",0
"Jeg synes egentlig, at det er den gruppe, som først og fremmest fortjener hæder i dag, hvis man overhovedet skal tale om noget sådant.",0
"Søren Espersen havde indkaldt til debat om, og det hænger jo sådan set også lidt sammen med det, der sker ovre i Grimhøjmoskeen.",0
"Misbrug – Vi skal hjælpe dem, der ønsker hjælp Årsagerne til misbrug kan være mange.",1
"Altså, nu diskuteres der her i Folketingssalen på kryds og tværs, og så lover det nok ikke særlig godt for troen på, at der kan skabes brede løsninger.",0
"Og som jeg så også indledte med at sige, har vi jo her i 2018 en opgave foran os i forhold til at lave en langsigtet handlingsplan for psykiatrien, hvor jeg også har bedt Sundhedsstyrelsen om her i foråret at komme med deres faglige anbefalinger, og hvor der også vil ske en inddragelse både af aktørerne på området og også Folketinget i forhold til at sikre udviklingen for psykiatrien.",1
"Forslaget her er jo, som det også fremgår af ministerens  fremsættelse, en genfremsættelse.",0
"Jeg synes, at reglerne er, som de skal være.",1
Når man arbejder med mennesker på kanten af vores samfund kan man aldrig gøre for meget.,1
"Den 27. november indkaldte SF sundhedsministeren i samråd, fordi vi ønskede, at de her data skulle slettes.",0
• År for år er pasningstilbuddene blevet udbygget.,0
Og vi vil ikke være med til at mis  handle ejerlejligheder.,0
"Det er vi selvfølgelig klar til at kigge på, men hvordan det nærmere skal indrettes kan vi jo diskutere os frem til.",0
"Hvis ikke det er regeringens opfattelse, at taksterne nedsættes med den begrundelse, at taksterne skal harmoniseres, så vil jeg anbefale jer at bruge et andet ord, når I fremsætter jeres finanslov.",0
"Hvis jeg kommer og skyder med spredehagl, som fru Line  Barfod gerne vil have, hvor jeg 1) mistænkeliggør  amerikanerne for at udøve tortur ved at sige, at nu vil jeg  have tortureksperter med, 2) mistænkeliggør dem for ikke at  behandle børn med den omsorg, de har krav på og vil have  eksperter med i det, og 3) så i øvrigt siger, at jeg også  godt vil have danskerens forhold afklaret, så tror jeg ikke,  jeg får ret stor mulighed for indflydelse på behandlingen og  klargøringen af danskerens sag.",1
"Jeg vil derfor i dag benytte lejligheden til at  appellere til alle partier her i Tinget om at slå koldt vand  i blodet og vente, til vi har det fulde grundlag at diskutere  på.",0
Kultur og værdier Dansk kultur Vi har et fælles ansvar for at bevare og formidle dansk kultur og historie.,0
Eller: »Hvem er bange for den store stygge ulv?«,0
"Vi skal ikke lægge skjul på, at vi fra SF's side klart  ville foretrække, at der blev oprettet et egentligt  forbrugerministerium.",0
"I lovgivningen skal samles de retsforskrifter, der på forskellige områder kan sikre børns og unges opvækst.",0
"Vi mener det er stemmespild at stemme på et parti som SF, der sammen med Socialdemokratiet har gennemført et utal af asociale love og vedtagelser i folketinget.",1
"alligevel kan Socialdemokratiet med rette pege på, at store resultater er opnået i det sidste år:  Vi er kommet langt med skattereformen.",0
"Jeg synes, det er godt, hvis ministeren vil komme med den redegørelse og også fortælle, hvornår de ændringer, der så åbenbart skal til, fordi den nuværende situation er uholdbar, kommer på plads.",0
"Det har den negative konsekvens, at staten i forbindelse med sin deltagelse i olieproduktion i Nordsøen ikke længere kan være repræsenteret via DONG, men skal have sin egen repræsentation inde fra Finansministeriet, hvor man jo ikke i samme grad er eksperter i olieproduktion.",0
"Det grundlæggende problem med ISDS er jo, at det indskrænker folkestyret og demokratiet til fordel for store selskaber.",1
Landbruget står i dag for 20 procent af Danmarks CO2-udledning.,0
"Der står i partiregnskaberne lige præcis som i alle de andre partiers, hvilke donorer man har, der har givet mere end 20.000 kr.",0
"De typiske behandlingsforløb går på tværs af flere hospitalsafdelinger, kommunale tilbud og almen praksis – og forskellige økonomiske kasser.",0
"Jeg agter under forudsætning af, at det kan lade  sig gøre inden for rammerne af vores internationale  forpligtelse, snarest muligt at fremsætte et lovforslag om  forbud mod handel med og import af skind og pelse fra hunde  og katte samt produkter heraf, og det gør jeg simpelt hen i  konsekvens af, at EU desværre ikke handler i denne her sag.",1
"Men jeg vil også gerne have bekræftet: Er det ikke  korrekt, at dette forslag indebærer en risiko for, at netop  den gruppe, den socialdemokratiske ordfører taler om, nemlig  de allersvageste, risikerer at få en øget egenbetaling?",0
